6,2,9769.425781
6,3,9611.198242
6,4,9609.735352
6,5,9824.382813
7,1,15105.868164
7,2,9699.134766
7,3,9614.587891
7,4,9674.326172
7,5,9886.464844
8,1,15051.346680
8,2,9660.156250
8,3,9630.656250
8,4,9730.718750
8,5,9901.689453
9,1,15012.606445
9,2,9641.484375
9,3,9652.436523
9,4,9771.453125
9,5,9946.971680
10,1,14980.773438
10,2,9634.822266
10,3,9681.379883
10,4,9806.916016
10,5,10036.582031
11,1,14959.200195
11,2,9635.212891
11,3,9708.625000
11,4,9839.877930
11,5,10091.707031
12,1,14941.880859
12,2,9642.114258
12,3,9733.797852
12,4,9868.235352
12,5,10139.821289
13,1,14927.736328
13,2,9651.025391
13,3,9759.208008
13,4,9901.250000
13,5,10170.322266
